"Method","rep","n","p","tau_setting","mu_setting","RMSE_CATE","RMSE_ATE","Coverage","Interval_Length"
"BCF",1,250,5,"homogeneous","linear",0.0534843352002223,0.0333470973497891,1,0.549086148481672
"BCF",2,250,5,"homogeneous","linear",0.137305914766148,0.0961554722048801,1,0.706562037476342
"BCF",3,250,5,"homogeneous","linear",0.0503635222084438,0.00836788023250623,1,0.515924153880024
"BCF",4,250,5,"homogeneous","linear",0.141595736093515,0.0330756971917934,1,0.713728511228487
"BCF",5,250,5,"homogeneous","linear",0.46910543502349,0.247221199942973,0.872,0.882356157467155
"BCF",6,250,5,"homogeneous","linear",0.246573762922835,0.0464711863705571,0.992,0.506017759716269
"BCF",7,250,5,"homogeneous","linear",0.0624111217074755,0.0281949536885566,1,0.616178060044959
"BCF",8,250,5,"homogeneous","linear",0.464013964988394,0.112674140593481,0.972,0.730908525391257
"BCF",9,250,5,"homogeneous","linear",0.571805322028222,0.142685542459927,0.988,0.712311557470576
"BCF",10,250,5,"homogeneous","linear",0.126438888978553,0.0198867995596683,1,0.538950839561129
"BCF",11,250,5,"homogeneous","linear",0.282980057048363,0.11593495602422,0.98,0.69441412046354
"BCF",12,250,5,"homogeneous","linear",0.168702515782638,0.0415763800451372,0.976,0.590536612450533
"BCF",13,250,5,"homogeneous","linear",0.225111677274257,0.0214060848131652,1,0.774459404206941
"BCF",14,250,5,"homogeneous","linear",0.0756676965910689,0.0147487139245004,1,0.504583756544199
"BCF",15,250,5,"homogeneous","linear",0.328282808883103,0.178782305133367,0.936,0.672570733725229
"BCF",16,250,5,"homogeneous","linear",0.219048508326584,0.08122846787326,0.992,0.745817283673707
"BCF",17,250,5,"homogeneous","linear",0.224063045865764,0.0239527795567533,1,0.77087316931012
"BCF",18,250,5,"homogeneous","linear",0.204229521730628,0.0404430860244727,0.98,0.53040425236344
"BCF",19,250,5,"homogeneous","linear",0.191511324816935,0.0296823500931027,1,0.601230834535486
"BCF",20,250,5,"homogeneous","linear",0.338254077760843,0.087038204875082,0.964,0.614250840860906
"BCF",1,250,5,"heterogeneous","linear",0.542851713038956,0.162492938140166,0.948,1.62096334325005
"BCF",2,250,5,"heterogeneous","linear",0.395764162735329,0.0621202071251434,0.94,1.36614135283227
"BCF",3,250,5,"heterogeneous","linear",0.519012742649109,0.0617940756020623,0.872,1.29728211451732
"BCF",4,250,5,"heterogeneous","linear",0.232802099292311,0.00394973379878971,0.98,1.05493965584067
"BCF",5,250,5,"heterogeneous","linear",0.741899672005083,0.110240775429673,0.888,1.76445451069741
"BCF",6,250,5,"heterogeneous","linear",0.351047334037827,0.0475733842316786,0.98,1.4676696027156
"BCF",7,250,5,"heterogeneous","linear",0.405082408503949,0.0260041570339815,0.912,1.1715724009996
"BCF",8,250,5,"heterogeneous","linear",0.520780589118343,0.13228476454142,0.94,1.34022195581457
"BCF",9,250,5,"heterogeneous","linear",0.482722121174977,0.175511632378491,0.944,1.47965442036827
"BCF",10,250,5,"heterogeneous","linear",0.321048785179503,0.0740991999429877,0.976,1.3821914020376
"BCF",11,250,5,"heterogeneous","linear",0.549663676491607,0.179908204376156,0.928,1.38311620721578
"BCF",12,250,5,"heterogeneous","linear",0.579858612744458,0.259451321798281,0.916,1.51961054743542
"BCF",13,250,5,"heterogeneous","linear",0.644324920081468,0.0289909836889723,0.944,1.32493138784454
"BCF",14,250,5,"heterogeneous","linear",0.242449168513919,0.0338806814912156,0.98,1.40537336339437
"BCF",15,250,5,"heterogeneous","linear",0.49666049586316,0.0235839956258479,0.932,1.67715442463954
"BCF",16,250,5,"heterogeneous","linear",0.473335904557843,0.0410024501537194,0.944,1.50986535977167
"BCF",17,250,5,"heterogeneous","linear",0.388181483993972,0.0188581015367173,0.964,1.22609623896115
"BCF",18,250,5,"heterogeneous","linear",0.486116013780155,0.0156530140743342,0.932,1.23618091161837
"BCF",19,250,5,"heterogeneous","linear",0.51971097113854,0.1008411325627,0.92,1.47912821386387
"BCF",20,250,5,"heterogeneous","linear",0.374339223189802,0.11023852025472,0.988,1.34833203241399
"BCF",1,250,5,"homogeneous","nonlinear",0.431492752084616,0.0960794513400929,0.98,0.722361274626763
"BCF",2,250,5,"homogeneous","nonlinear",0.112180217720934,0.00704805219239102,1,0.748252571793213
"BCF",3,250,5,"homogeneous","nonlinear",0.64131946468734,0.2476033216997,0.956,1.13306602196326
"BCF",4,250,5,"homogeneous","nonlinear",0.171482459697234,0.04853419183832,1,0.881193683697963
"BCF",5,250,5,"homogeneous","nonlinear",0.351310130844832,0.0725025409565778,0.976,0.816799892985185
"BCF",6,250,5,"homogeneous","nonlinear",0.264246429708177,0.079603874371581,1,0.88238500458271
"BCF",7,250,5,"homogeneous","nonlinear",0.324986004160402,0.0128134719924984,1,0.70585629582019
"BCF",8,250,5,"homogeneous","nonlinear",0.203062897733816,0.0628221602296475,1,0.904793258697156
"BCF",9,250,5,"homogeneous","nonlinear",0.0467347217575352,0.0129662863520266,1,0.603743255454786
"BCF",10,250,5,"homogeneous","nonlinear",0.457458483700445,0.0834104822181052,0.968,0.669085663396535
"BCF",11,250,5,"homogeneous","nonlinear",0.733582747835451,0.17928864545963,1,1.04278470940449
"BCF",12,250,5,"homogeneous","nonlinear",0.515607642009632,0.175973413688245,0.98,0.923238278716922
"BCF",13,250,5,"homogeneous","nonlinear",0.609284827173477,0.126728470683585,0.98,0.800065802185226
"BCF",14,250,5,"homogeneous","nonlinear",0.278837287900897,0.0258620059660526,0.98,0.696085800181279
"BCF",15,250,5,"homogeneous","nonlinear",0.547308991367734,0.226023464093836,0.98,0.941292700664225
"BCF",16,250,5,"homogeneous","nonlinear",0.31624806778267,0.0819393387572922,0.98,0.634005627156722
"BCF",17,250,5,"homogeneous","nonlinear",0.669330330990671,0.257743575235557,0.928,0.813125517442847
"BCF",18,250,5,"homogeneous","nonlinear",0.265839340670237,0.125120765404029,1,0.887327484941312
"BCF",19,250,5,"homogeneous","nonlinear",0.475670232272817,0.0549561159593526,1,0.755799439313272
"BCF",20,250,5,"homogeneous","nonlinear",0.193828227363402,0.0302131336079459,1,0.578568750895142
"BCF",1,250,5,"heterogeneous","nonlinear",0.561888920908314,0.0206474849382234,0.956,1.69838727119545
"BCF",2,250,5,"heterogeneous","nonlinear",0.375555401825077,0.0717331665661981,0.968,1.51442489859651
"BCF",3,250,5,"heterogeneous","nonlinear",0.629335054457169,0.0839358413263702,0.956,1.85696950376853
"BCF",4,250,5,"heterogeneous","nonlinear",1.04025918930011,0.217548179744024,0.92,1.73084597947994
"BCF",5,250,5,"heterogeneous","nonlinear",0.408043023147817,0.10483549677802,0.952,1.56457728249875
"BCF",6,250,5,"heterogeneous","nonlinear",0.428415800527029,0.00128725395055951,0.972,1.80711760782305
"BCF",7,250,5,"heterogeneous","nonlinear",0.583248489540524,0.144008207868188,0.948,1.83524403509839
"BCF",8,250,5,"heterogeneous","nonlinear",0.514312325363549,0.128321385785925,0.936,1.71461358676268
"BCF",9,250,5,"heterogeneous","nonlinear",0.76501246608848,0.169209119484364,0.944,1.55850714110087
"BCF",10,250,5,"heterogeneous","nonlinear",0.863063824837424,0.204460143423665,0.932,1.60065969607926
"BCF",11,250,5,"heterogeneous","nonlinear",0.540447552639217,0.0077324865781172,0.952,1.3344484164532
"BCF",12,250,5,"heterogeneous","nonlinear",1.21389802173185,0.251122485591035,0.916,1.86419465988624
"BCF",13,250,5,"heterogeneous","nonlinear",0.313442679286272,0.0474886678658378,0.984,1.41438704432776
"BCF",14,250,5,"heterogeneous","nonlinear",0.527623047905245,0.0837865451151696,0.936,1.55187663008847
"BCF",15,250,5,"heterogeneous","nonlinear",0.412274610519092,0.000113370452596184,0.96,1.30553031020995
"BCF",16,250,5,"heterogeneous","nonlinear",0.414909441812806,0.120824382963107,0.96,1.70000785305725
"BCF",17,250,5,"heterogeneous","nonlinear",0.432245479642636,0.0295612574326485,0.968,1.50649772100168
"BCF",18,250,5,"heterogeneous","nonlinear",1.12911676653344,0.114193205997807,0.944,1.60832383324595
"BCF",19,250,5,"heterogeneous","nonlinear",1.26666464631569,0.317394512202868,0.936,1.89950919021943
"BCF",20,250,5,"heterogeneous","nonlinear",0.692200061282515,0.101627473791478,0.912,1.62023906645772
"BCF",1,500,5,"homogeneous","linear",0.0864415012408905,0.0308415395117727,0.998,0.281452801018164
"BCF",2,500,5,"homogeneous","linear",0.26470296839496,0.0773488949250987,0.964,0.300111865557361
"BCF",3,500,5,"homogeneous","linear",0.0869341939149075,0.05614500048986,1,0.314821723701284
"BCF",4,500,5,"homogeneous","linear",0.0543554139047529,0.000332589067996825,1,0.305169392403119
"BCF",5,500,5,"homogeneous","linear",0.0650965661728664,0.0014548529588736,1,0.3293812791755
"BCF",6,500,5,"homogeneous","linear",0.135107962959505,0.0696512743408935,0.986,0.307073483685456
"BCF",7,500,5,"homogeneous","linear",0.0715895534862418,0.0250779742720297,1,0.342137570285103
"BCF",8,500,5,"homogeneous","linear",0.108272445260741,0.0326362370736839,1,0.308500033132403
"BCF",9,500,5,"homogeneous","linear",0.172026825221735,0.0495950013337287,0.984,0.403815869515079
"BCF",10,500,5,"homogeneous","linear",0.0645173883599093,0.0283591212887844,1,0.310017152829483
"BCF",11,500,5,"homogeneous","linear",0.136568318672401,0.0396501910437235,0.998,0.305239407314149
"BCF",12,500,5,"homogeneous","linear",0.214838971295359,0.0202311521651093,0.984,0.396825118567113
"BCF",13,500,5,"homogeneous","linear",0.159489235396988,0.0264998328299426,0.986,0.347905265972213
"BCF",14,500,5,"homogeneous","linear",0.137601669570196,0.0240293567961354,0.998,0.324474794263005
"BCF",15,500,5,"homogeneous","linear",0.28987755049019,0.0601835458939943,0.974,0.363315549949575
"BCF",16,500,5,"homogeneous","linear",0.14648753571918,0.0354134262516039,0.958,0.367752888527748
"BCF",17,500,5,"homogeneous","linear",0.184782146200253,0.0415544684534952,1,0.378217589311712
"BCF",18,500,5,"homogeneous","linear",0.135960449674595,0.0322226781893158,0.984,0.300755591926584
"BCF",19,500,5,"homogeneous","linear",0.069251482867289,0.0193495961785164,1,0.321716428654813
"BCF",20,500,5,"homogeneous","linear",0.26787852511611,0.0505526093341846,0.984,0.343983352757505
"BCF",1,500,5,"heterogeneous","linear",0.273988975277684,0.105674271732475,0.952,0.860167128813276
"BCF",2,500,5,"heterogeneous","linear",0.214803707019582,0.0680435422325989,0.966,0.74940022091543
"BCF",3,500,5,"heterogeneous","linear",0.207036634562304,0.047083893299837,0.974,0.823963939002004
"BCF",4,500,5,"heterogeneous","linear",0.280915504730399,0.0617202580257605,0.972,0.882239553730085
"BCF",5,500,5,"heterogeneous","linear",0.281503114133725,0.0235438359322054,0.932,0.853016735066038
"BCF",6,500,5,"heterogeneous","linear",0.349083308126041,0.102049409428359,0.946,0.972938692461393
"BCF",7,500,5,"heterogeneous","linear",0.296595180808091,0.0350590674815519,0.968,0.81434605817302
"BCF",8,500,5,"heterogeneous","linear",0.242390064981716,0.0223974293384628,0.96,0.834690886970229
"BCF",9,500,5,"heterogeneous","linear",0.348921323897433,0.109746916078119,0.936,0.899723037996842
"BCF",10,500,5,"heterogeneous","linear",0.296232844776443,0.0649872360824661,0.958,0.739779069523059
"BCF",11,500,5,"heterogeneous","linear",0.26932245217967,0.0199165068833211,0.97,0.853382057437732
"BCF",12,500,5,"heterogeneous","linear",0.255123977906845,0.0506906294465721,0.976,0.88595521862589
"BCF",13,500,5,"heterogeneous","linear",0.360267259612407,0.0700027201069493,0.946,0.780456229335486
"BCF",14,500,5,"heterogeneous","linear",0.224517371666868,0.00768421388022267,0.984,0.874737569869797
"BCF",15,500,5,"heterogeneous","linear",0.181675420495647,0.0311955675769753,0.974,0.725859797981473
