"cate_rmse","cate_coverage","cate_interval_length","ate_rmse","ate_coverage","ate_interval_length","gamma1_sig","gamma2_sig","gamma3_sig","gamma4_sig","gamma5_sig"
3.63901934203367,0.214,2.76770845599031,2.84641182261242,0,1.45019124817038,0,1,0,1,1
3.28396750789599,0.154,2.47211640331996,2.53088008808758,0,1.3291433231212,0,0,0,1,1
3.61361656183478,0.138,2.6028586124352,2.80786978869996,0,1.4651165498798,0,0,0,1,1
3.03135065497635,0.324,2.96225480581862,2.03679050859944,0,1.47615538469892,0,0,1,1,1
3.14121786103925,0.32,2.47693168617366,2.32537112749768,0,1.22642028537474,0,0,0,0,1
3.61671838560117,0.316,2.91058545494793,2.71020626393882,0,1.44061556089798,0,0,0,0,1
3.95768631021903,0.21,2.6861792825624,3.14116295200174,0,1.37806235970884,0,0,0,1,1
2.81729437230739,0.27,2.64383295233628,1.96094730724151,0,1.41231948347036,0,0,0,1,1
2.60369237461654,0.314,2.49550465819227,0.967296683346309,0,1.24573845732856,0,0,1,1,1
3.57554705966771,0.234,2.62359897207502,2.41085876537366,0,1.38644029411804,0,0,1,1,1
3.0223180369366,0.284,2.57557142878017,1.71856132034073,0,1.31375255344228,0,0,1,1,1
3.27148322788617,0.262,2.86046795955113,2.39318705023791,0,1.4155593967873,0,0,0,1,1
3.47193700308424,0.312,2.62147144118546,2.71150724989708,0,1.43854613285195,0,0,0,1,1
3.91536810359873,0.204,2.74569320421905,2.73174955238578,0,1.46515662500455,0,0,1,1,1
3.14231479179281,0.262,2.69033139806998,2.31841182449594,0,1.3613896690684,0,0,1,1,1
3.18843443093698,0.3,2.53027613067016,1.81548970270507,0,1.25941260091502,0,0,1,1,1
3.87130240251102,0.106,2.39519217921373,3.14065620083063,0,1.30252413074255,0,0,0,1,1
3.44482765631537,0.244,2.69257886758991,2.59757653158088,0,1.37047973246444,0,0,0,1,1
3.00425208350562,0.324,2.68390734478984,1.93632469594094,0,1.37226485858587,0,0,1,1,1
2.62017547397674,0.37,2.97708919643445,1.82796222481003,0,1.40720249355665,0,0,0,1,1
3.01294845658281,0.224,2.40243239984894,2.06739902504047,0,1.26797727284421,0,0,0,1,1
3.89359063645844,0.214,2.60979222193172,2.57328237720185,0,1.33744879946153,0,0,1,1,1
2.93708684677898,0.316,2.63796878476777,1.48062428055852,0,1.35037593978988,0,0,1,1,1
3.90766298610385,0.226,2.71500183425987,3.02225481350187,0,1.47943295314133,0,0,1,1,1
3.29005699900375,0.284,2.63612070211015,1.81720135343802,0,1.37966238862113,0,1,1,1,1
3.78791242714641,0.224,2.80726656604406,2.56841931198955,0,1.38145124363659,0,0,1,0,1
2.80048011148563,0.302,2.78917100536855,2.08556345084489,0,1.49992113132318,0,0,0,0,1
3.94599490867846,0.206,2.75697299312898,3.13506547606225,0,1.44753190961086,0,0,0,1,1
3.088220533674,0.276,2.54016308406764,2.42159241113744,0,1.4293160672763,0,0,0,1,1
4.04222716413449,0.24,3.11747168158858,3.05137747186784,0,1.51723045711581,0,0,1,1,1
3.10346746847501,0.23,2.77867259646823,2.24861390300423,0,1.50738853791989,0,0,0,1,1
3.63815372550096,0.298,2.65573770883347,2.82661459875007,0,1.33612475279249,0,0,0,0,1
3.40988948235172,0.312,3.10604896613172,2.28447014052108,0,1.50717740793106,0,0,1,1,1
2.77254428560272,0.308,2.67999601456855,1.85769812391085,0,1.35295398875761,0,0,1,1,1
2.59635922140594,0.404,2.98151462766007,1.64475559820214,0,1.40054152313263,0,0,0,1,1
3.31907192486031,0.338,2.80236474716666,2.53046442658788,0,1.395771078636,0,0,0,0,1
3.04024239136925,0.328,3.10481811866633,2.16249972410961,0,1.50788151634335,0,0,0,1,1
2.98711684451651,0.314,2.77065371198063,2.20602093747506,0,1.55007905544127,0,0,0,0,1
2.78049187428557,0.344,2.89346485289972,1.76571364755573,0,1.42354820990694,0,0,1,1,1
3.33842864032864,0.292,2.9083953960425,2.16940594034719,0,1.44650951916648,1,0,1,1,1
3.44488104739531,0.262,2.9107584246263,2.45292633034365,0,1.42343078041884,0,0,1,1,1
3.53812029462054,0.254,2.98504653286165,2.69970585953504,0,1.45859776979619,0,0,1,1,1
3.61698006853869,0.244,2.76969087108989,2.3068090365008,0,1.3513829280781,0,0,1,1,1
2.99887318073028,0.342,2.67739542760593,1.91342641237669,0,1.3663593133128,0,0,1,1,1
3.01697949017931,0.32,2.71910623667461,1.42201571231669,0,1.37430444239537,0,0,1,1,1
3.5609743436976,0.238,2.60426884234888,2.32544856481125,0,1.30377880989031,0,0,1,0,1
3.06716698423112,0.298,2.83324745805958,2.01183876591175,0,1.34663469950831,0,0,1,1,1
3.68082105109071,0.226,2.89659948516962,2.90767743275141,0,1.40667242680849,0,0,0,1,1
3.99836622109046,0.122,2.45338344525719,3.27943123592167,0,1.24673741235179,0,0,0,1,1
3.52478254143429,0.302,3.11474134445286,2.19496405008907,0,1.55185759570229,0,0,1,0,1
